id,repo,priority,theme,title,why,scope,acceptance,status
SYSTEM-COH-001,allagma-dotnet primary; all repos referenced,P0,Cross-repo cohesion,"Create canonical system compatibility, environment, auth, route, and test matrices","The repos now expose real service boundaries, but compatibility is still discipline-driven rather than pinned and testable.","Add docs/system/SYSTEM_COMPATIBILITY_MATRIX.md, SYSTEM_ENVIRONMENT_MATRIX.md, SYSTEM_AUTH_MATRIX.md, SYSTEM_ROUTE_MATRIX.md, SYSTEM_TEST_MATRIX.md. Pin repo refs, package/client versions, route prefixes, ports, auth modes, required env vars, and smoke scripts.",A new developer can start the local stack from the matrix; every cross-service client call in Allagma/Kanon/Conexus maps to one documented route/auth/env row; no obsolete naming appears.,planned
SYSTEM-E2E-001,allagma-dotnet primary; exercises kanon-dotnet and conexus-dotnet,P0,Cross-repo cohesion,Add full local-stack E2E suite for the governed runtime loop,"The first loop exists, but the durable end-to-end system should be proven as one observable runtime, not just individual services.","One script/harness starts Kanon, Conexus, Allagma, and Postgres. Scenarios: completed run, idempotent retry, human gate waiting/approved/denied, Kanon→Conexus assistance, Conexus fallback, restart survival, trace/correlation stitching.","A single command produces artifacts/system-e2e/<timestamp>/summary.json with route responses, event timeline, decision IDs, model call IDs, trace IDs, and pass/fail status.",planned
SYSTEM-ERR-001,"ontogony-platform first; consumed by allagma-dotnet, kanon-dotnet, conexus-dotnet, ontogony-frontend",P0,Cross-service contracts,Standardize cross-service error envelope and typed client failures,Mixed local error shapes make downstream UX and automated retries fragile.,"Define shared error envelope with code, message, stage, system, downstreamSystem, traceId, correlationId, retryable, and detail. Map Conexus provider/quota/idempotency failures, Kanon policy/human-gate failures, and Allagma orchestration failures.",Kanon.Client and Conexus.Client expose deterministic typed failures; Allagma translates downstream failures into the shared envelope; frontend adapters can render a single error model.,planned
SYSTEM-CTX-001,"allagma-dotnet, kanon-dotnet, conexus-dotnet, ontogony-frontend",P0,Traceability,"Standardize end-to-end trace, correlation, actor, and idempotency propagation","The system value depends on linking Allagma events, Kanon decisions, and Conexus telemetry without leaking sensitive payloads.","Document and enforce traceparent, X-Correlation-ID, X-Ontogony-Actor-Id, X-Ontogony-Actor-Type, X-Ontogony-Actor-Roles, Idempotency-Key, X-Allagma-Run-Id. Add tests for propagation across Client→Allagma→Kanon→Conexus.","Trace/correlation IDs appear in Allagma events, Kanon decision records, and Conexus telemetry/model-call records for the same local-stack run.",planned
SYSTEM-DASH-001,ontogony-platform or allagma-dotnet docs; dashboards may span all repos,P1,Operations,Create starter dashboard and SLO pack for the three-node runtime,"Metrics and evidence are present in pieces, but operators need a single health/readiness/failure view.","Dashboards for service readiness, request rates, downstream failures, idempotency conflicts, human-gate waiting count, Conexus fallback count, model-call latency/cost, and restart/replay health.",A local Grafana/importable dashboard or documented panel pack can be loaded against the local stack.,closed-alpha-ready
ALLAGMA-TOOL-TRUST-001,allagma-dotnet,P0,Safety / execution boundaries,Keep real tool execution blocked until the real-tool trust model is complete,Allagma has simulated/local sandbox execution surfaces; external side effects need a stronger trust boundary before activation.,"Add docs/security/REAL_TOOL_EXECUTION_TRUST_MODEL.md, docs/architecture/REAL_TOOL_EXECUTION_CONTRACT.md, docs/contracts/REAL_TOOL_EXECUTION_EVENTS.md, docs/runbooks/REAL_TOOL_EXECUTION_OPERATOR_RUNBOOK.md.","Design covers deny-by-default registry, per-tool permissions, secret scope, outbound/filesystem allowlists, human gate policy, durable side-effect ledger, no-reexecution replay rule, timeout/cancellation, and evidence export.",planned
ALLAGMA-SANDBOX-OBS-001,allagma-dotnet,P1,Operator clarity,"Make sandbox/simulated execution status explicit in capabilities, events, and docs",Operators must distinguish dry-run/simulation/local marker execution from real external effects.,"Expose execution mode in /capabilities, run events, audit bundle, and frontend-adapter contracts.","Every run that touches tool execution records mode=symbolic|dry_run|local_sandbox|real_external, with real_external unavailable until the trust model passes.",planned
ALLAGMA-EVIDENCE-001,allagma-dotnet,P1,Evidence / replay,Tighten run audit and evaluation evidence export for frontend and system E2E use,Allagma has rich audit/evaluation endpoints; the next value is ensuring evidence bundles serve both operator UX and automated cross-repo proof.,"Document canonical fields for run audit bundle, eval evidence, baseline comparison, topology summary, downstream references, and redaction notes.",Frontend can render an audit/evidence panel using live APIs; system E2E summary links every run to Kanon decision/provenance and Conexus model-call IDs.,planned
ALLAGMA-STREAM-001,allagma-dotnet,P2,Runtime UX,Plan Conexus streaming integration into Allagma progress events,"Conexus supports streaming and Allagma has a streaming client path, but the operator event stream should expose safe progress before this becomes default.",Define event types for model stream started/chunk/progress/completed; ensure no raw sensitive content is stored by default.,A non-default local smoke can stream through Conexus and produce redacted Allagma progress events.,planned
CONEXUS-TOOLS-001,conexus-dotnet,P0,Gateway feature completeness,Add OpenAI-compatible tools/tool_choice/function-call pass-through,Agentic runtimes need tool declarations to pass through the gateway; current chat request contract has model/messages/temperature/top_p/max_tokens/stream/metadata/user but no tools or tool_choice.,"Extend contracts, provider abstractions, provider adapters, validation, redaction, raw artifact capture, tests, and OpenAPI examples.",A request containing tools and tool_choice round-trips through Conexus to an OpenAI-compatible provider or fake provider without contract loss.,planned
